id;name;longitude;latitude;travel_id;date
1;name;1.33386;43.62553;1;2020-10-12 13:34:02
2;name;1.33388;43.62553;1;2020-10-12 13:35:02
3;name;1.33397;43.62552;1;2020-10-12 13:36:02
4;name;1.33404;43.62552;1;2020-10-12 13:37:02
5;name;1.33407;43.62552;1;2020-10-12 13:38:02
6;name;1.33409;43.62551;1;2020-10-12 13:39:02
7;name;1.33411;43.6255;1;2020-10-12 13:40:02
8;name;1.33414;43.62549;1;2020-10-12 13:41:02
9;name;1.33416;43.62546;1;2020-10-12 13:42:02
10;name;1.33435;43.62521;1;2020-10-12 13:43:02
11;name;1.33437;43.62518;1;2020-10-12 13:44:02
12;name;1.33438;43.62514;1;2020-10-12 13:45:02
13;name;1.33439;43.6251;1;2020-10-12 13:46:02
14;name;1.33439;43.62504;1;2020-10-12 13:47:02
15;name;1.3344;43.6249;1;2020-10-12 13:48:02
16;name;1.33424;43.62488;1;2020-10-12 13:49:02
17;name;1.33408;43.62486;1;2020-10-12 13:50:02
18;name;1.33391;43.62481;1;2020-10-12 13:51:02
19;name;1.33376;43.62475;1;2020-10-12 13:51:02
20;name;1.33345;43.62459;1;2020-10-12 13:53:02
21;name;1.33335;43.62459;1;2020-10-12 13:54:02
22;name;1.3329;43.62459;1;2020-10-12 13:55:02
23;name;1.33287;43.62465;1;2020-10-12 13:56:02
24;name;1.33281;43.62469;1;2020-10-12 13:57:02
25;name;1.33274;43.62472;1;2020-10-12 13:58:02
26;name;1.33266;43.62474;1;2020-10-12 13:59:02
27;name;1.3326;43.62474;1;2020-10-12 14:00:02
28;name;1.33258;43.62474;1;2020-10-12 14:01:02
29;name;1.33248;43.62473;1;2020-10-12 14:02:02
30;name;1.33243;43.62471;1;2020-10-12 14:03:02
31;name;1.33239;43.62469;1;2020-10-12 14:04:02
32;name;1.33235;43.62467;1;2020-10-12 14:05:02
33;name;1.33233;43.62465;1;2020-10-12 14:06:02
34;name;1.33227;43.62459;1;2020-10-12 14:07:02
35;name;1.33225;43.62455;1;2020-10-12 14:08:02
36;name;1.3322;43.62451;1;2020-10-12 14:09:02
37;name;1.33212;43.62447;1;2020-10-12 14:10:02
38;name;1.33203;43.62443;1;2020-10-12 14:11:02
39;name;1.33197;43.62442;1;2020-10-12 14:12:02
40;name;1.33188;43.6244;1;2020-10-12 14:13:02
41;name;1.33166;43.62442;1;2020-10-12 14:14:02
42;name;1.33154;43.62442;1;2020-10-12 14:15:02
43;name;1.33142;43.62441;1;2020-10-12 14:16:02
44;name;1.33126;43.62438;1;2020-10-12 14:17:02
